City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-12-07 10:06:21,-33.9258,18.4232,74.08,55,16,5.01
68,Te Anau,NZ,2021-12-07 10:02:58,-45.4167,167.7167,52.63,88,48,1.92
69,Nanortalik,GL,2021-12-07 10:02:40,60.1432,-45.2371,21.85,56,11,28.1
70,Kuytun,RU,2021-12-07 10:06:22,54.3419,101.5036,14.25,92,70,4.79
71,Airai,TL,2021-12-07 10:06:22,-8.9266,125.4092,63.79,92,87,0.4
72,Ulaangom,MN,2021-12-07 10:06:23,49.9811,92.0667,9.9,93,100,3.0
73,Bredasdorp,ZA,2021-12-07 10:06:23,-34.5322,20.0403,71.28,52,45,9.24
74,Lengshuijiang,CN,2021-12-07 10:04:08,27.6881,111.4294,54.27,49,67,4.88
75,Newport,GB,2021-12-07 10:03:02,51.5877,-2.9984,48.85,89,100,29.75
76,Tonshayevo,RU,2021-12-07 10:06:24,57.736,47.0127,14.0,70,100,8.57
77,Thompson,CA,2021-12-07 10:06:24,55.7435,-97.8558,-26.93,100,85,2.71
78,Kalangala,UG,2021-12-07 10:06:24,-0.3089,32.225,76.35,64,97,5.59
79,Barranca,PE,2021-12-07 10:06:24,-10.75,-77.7667,64.92,90,83,4.43
80,Bluff,NZ,2021-12-07 10:06:24,-46.6,168.3333,54.21,83,2,2.53
81,Saravan,AM,2021-12-07 10:06:25,39.7196,45.6483,36.25,58,7,1.03
82,Richards Bay,ZA,2021-12-07 10:06:25,-28.783,32.0377,75.79,73,95,9.71
83,Nizwa,OM,2021-12-07 10:04:11,22.9333,57.5333,80.37,30,2,5.91
84,Great Falls,US,2021-12-07 10:06:25,47.5002,-111.3008,19.92,91,1,5.75
85,Port Alfred,ZA,2021-12-07 10:06:26,-33.5906,26.891,69.39,74,64,9.8
86,Pierre,US,2021-12-07 10:06:26,44.3683,-100.351,18.86,63,90,4.0
87,Klyuchi,RU,2021-12-07 10:06:26,52.2667,79.1667,25.12,93,100,11.83
88,Makakilo City,US,2021-12-07 10:06:26,21.3469,-158.0858,68.32,88,90,3.44
89,Katsuura,JP,2021-12-07 10:06:27,35.1333,140.3,56.1,77,76,21.83
90,Beringovskiy,RU,2021-12-07 10:06:27,63.05,179.3167,-12.93,91,35,4.27
91,Bethal,ZA,2021-12-07 10:06:27,-26.4579,29.4655,79.56,32,21,8.61
92,Jijiga,ET,2021-12-07 10:06:27,9.35,42.8,77.18,16,71,12.53
93,Mana,GF,2021-12-07 10:07:27,5.6592,-53.7767,75.24,93,98,4.88
94,Luderitz,NA,2021-12-07 10:07:28,-26.6481,15.1594,75.51,55,0,18.37
95,Yilan,TW,2021-12-07 10:07:28,24.757,121.753,66.36,99,100,2.68
96,Rawson,AR,2021-12-07 10:07:28,-43.3002,-65.1023,74.28,45,0,23.98
97,Dicabisagan,PH,2021-12-07 10:07:29,17.0818,122.4157,74.98,79,69,15.7
98,San Cristobal,VE,2021-12-07 10:07:29,7.7669,-72.225,65.37,86,84,2.89
99,Labuhan,ID,2021-12-07 10:07:29,-6.8844,112.2051,82.27,80,89,11.68
100,Guymon,US,2021-12-07 10:07:30,36.6828,-101.4816,35.6,35,40,17.27
101,Okhotsk,RU,2021-12-07 10:05:20,59.3833,143.3,-19.03,89,3,14.2
102,Rorvik,NO,2021-12-07 10:03:05,64.8621,11.2373,23.11,58,0,21.85
103,Castro,BR,2021-12-07 10:07:30,-24.7911,-50.0119,57.99,94,88,9.04
104,Piopio,NZ,2021-12-07 10:07:31,-38.4667,175.0167,65.95,96,100,0.89
105,Comarapa,BO,2021-12-07 10:07:31,-17.9,-64.4833,55.96,92,99,1.63
106,Comodoro Rivadavia,AR,2021-12-07 10:07:31,-45.8667,-67.5,78.66,18,0,8.05
107,Barmer,IN,2021-12-07 10:07:31,25.75,71.3833,79.83,18,0,6.02
108,Nome,US,2021-12-07 10:07:32,64.5011,-165.4064,15.87,86,90,12.66
109,Padang,ID,2021-12-07 10:07:13,-0.9492,100.3543,86.05,72,65,2.8
110,Praia,CV,2021-12-07 10:07:32,14.9215,-23.5087,75.74,73,20,23.02
111,Yagodnoye,RU,2021-12-07 10:07:32,62.55,149.6667,-16.38,99,100,5.35
112,Adre,TD,2021-12-07 10:07:32,13.4667,22.2,88.3,13,5,9.6
113,Kaniama,CD,2021-12-07 10:07:33,-7.5667,24.1833,80.74,75,80,5.06
114,Paris,FR,2021-12-07 10:07:33,48.8534,2.3488,40.77,97,90,1.99
115,Muroto,JP,2021-12-07 10:07:33,33.2833,134.15,59.52,61,68,7.31
116,Alofi,NU,2021-12-07 10:07:33,-19.0595,-169.9187,78.26,81,100,15.79
117,Touros,BR,2021-12-07 10:07:34,-5.1989,-35.4608,79.7,71,6,11.86
118,Arlit,NE,2021-12-07 10:07:34,18.7369,7.3853,82.58,10,0,10.8
119,Vila Franca Do Campo,PT,2021-12-07 10:04:28,37.7167,-25.4333,63.19,90,80,7.14
120,Olga,RU,2021-12-07 10:07:34,43.7444,135.2892,30.04,66,0,4.41
121,Beloha,MG,2021-12-07 10:07:35,-25.1667,45.05,101.98,15,1,14.7
122,Bissau,GW,2021-12-07 10:07:35,11.8636,-15.5977,81.12,49,93,4.47
123,New Norfolk,AU,2021-12-07 10:07:35,-42.7826,147.0587,51.71,53,32,1.99
124,Viedma,AR,2021-12-07 10:07:36,-40.8135,-62.9967,70.95,56,0,17.02
125,Port Hardy,CA,2021-12-07 10:07:36,50.6996,-127.4199,41.76,86,100,13.44
126,Vila Velha,BR,2021-12-07 10:07:36,-20.3297,-40.2925,75.15,90,75,10.0
127,Matara,LK,2021-12-07 10:07:36,5.9485,80.5353,83.66,71,88,6.91
128,Cabo San Lucas,MX,2021-12-07 10:07:37,22.8909,-109.9124,72.52,81,65,5.08
129,Santiago Del Estero,AR,2021-12-07 10:07:37,-27.7951,-64.2615,75.94,51,87,7.45
130,Tazovskiy,RU,2021-12-07 10:07:37,67.4667,78.7,1.11,97,100,2.57
131,Lagoa,PT,2021-12-07 10:07:37,39.05,-27.9833,60.39,67,96,16.64
132,Trofors,NO,2021-12-07 10:04:54,65.5333,13.4063,24.15,93,41,6.69
133,Saint George,US,2021-12-07 10:07:38,37.1041,-113.5841,53.35,37,1,3.44
134,Lata,PT,2021-12-07 10:08:39,40.1629,-8.3327,58.93,91,99,8.57
135,Yabelo,ET,2021-12-07 10:07:19,4.8833,38.0833,78.1,20,18,13.91
136,Puerto Ayora,EC,2021-12-07 10:08:39,-0.7393,-90.3518,66.83,90,99,6.91
137,Jiaozuo,CN,2021-12-07 10:05:41,35.2397,113.2331,45.23,36,100,6.8
