City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Guerrero Negro,MX,62.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
287,Reconquista,AR,90.18,clear sky,-29.15,-59.65,Grand Hotel
289,Jardim,BR,96.49,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
291,Vao,NC,77.65,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
292,Arlit,NE,84.15,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
293,Isiro,CD,77.63,overcast clouds,2.7739,27.616,Guest House Hewa Bora
296,Plettenberg Bay,ZA,64.8,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
297,Lorengau,PG,81.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
298,Fortuna,US,50.36,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
299,Samarai,PG,80.82,broken clouds,-10.6167,150.6667,Nuli Sapi
301,Sambava,MG,78.08,clear sky,-14.2667,50.1667,Melrose
303,Dingle,PH,74.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
304,Karachi,PK,69.62,haze,24.9056,67.0822,Sadaat
305,San Patricio,US,60.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
306,Codrington,AU,52.34,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
307,Waddan,LY,55.17,clear sky,29.1614,16.139,محل الشريف محمد العايب
308,Kieta,PG,78.76,light rain,-6.2167,155.6333,Uruna Bay Retreat
309,Kudamatsu,JP,54.59,broken clouds,34.0,131.8667,Hotel AZ Yamaguchi Kudamatsu
310,Vidisha,IN,65.53,clear sky,23.5333,77.8167,STARiHOTELS Railway station Vidisha
311,Lompoc,US,56.12,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
314,Asyut,EG,69.42,overcast clouds,27.181,31.1837,Florence Hotel Assiut
315,Kangaba,ML,95.85,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
319,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
320,Hokitika,NZ,51.33,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
323,Bengkulu,ID,76.59,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
324,Trelew,AR,97.18,overcast clouds,-43.249,-65.3051,Hotel Touring Club
326,Gasa,PS,64.18,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
327,Machali,CL,82.02,clear sky,-34.1833,-70.6667,Mining House
328,Nchelenge,ZM,79.97,broken clouds,-9.3451,28.734,KD Travellers Home
332,Kinkala,CG,79.41,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
336,Erzin,TR,63.12,clear sky,36.9559,36.2,Artemis Otel
